Punto,Unidad de manejo,Campaña representativa,Estado humano,Sospecha del punto,Prob. representante,Score representante,recorded_at,Inicio (s),Fin (s),Archivo representante,Ruta representante,Segmentos revisados,Ausencias validadas,Acción sugerida
P01126,Buenaventura,2025-11_2025-11,Sin validación,0.9999340741271799,0.999982091263971,0.011800000444054604,2025-11-12 05:45:00,48.0,53.0,Clasificador_Especies_V1,,0,0,Validar punto
P00248,Buenaventura,2024-01_2024-02,Ausencia en audios revisados,0.9539403069421486,0.9928043211020288,0.00430000014603138,2024-02-06 06:15:00,27.0,32.0,Clasificador_Especies_V1,,64,64,Revisar de nuevo: modelo contradice ausencia revisada
P00869,Particular,2025-08_2025-09,Ausencia en audios revisados,0.9463455075170639,0.985086203049554,0.005799999926239252,2025-08-16 06:14:00,42.0,47.0,Clasificador_Especies_V1,,64,64,Revisar de nuevo: modelo contradice ausencia revisada
P00241,Buenaventura,2024-01_2024-02,Ausencia en audios revisados,0.8733389696078511,0.9841030402363424,0.01080000028014183,2024-02-09 06:15:00,90.0,95.0,Clasificador_Especies_V1,,64,64,Revisar de nuevo: modelo contradice ausencia revisada
P00874,Buenaventura,2025-08_2025-09,Ausencia en audios revisados,0.8716550599979621,0.945296690375742,0.0071000000461936,2025-08-22 09:21:00,72.0,77.0,Clasificador_Especies_V1,,66,66,Revisar de nuevo: modelo contradice ausencia revisada
P00862,Buenaventura,2025-08_2025-09,Sin validación,0.8469983871939544,0.8700178128666908,0.004800000227987766,2025-09-01 10:12:00,15.0,20.0,Clasificador_Especies_V1,,0,0,Validar punto
P00851,Particular,2025-08_2025-09,Sin validación,0.829199622162915,0.8951516569349227,0.0052999998442828655,2025-08-19 18:42:00,63.0,68.0,Clasificador_Especies_V1,,0,0,Validar punto
P00247,Buenaventura,2024-01_2024-02,Sin validación,0.7738261052655326,0.8507759325482429,0.0035000001080334187,2024-02-05 18:00:00,90.0,95.0,Clasificador_Especies_V1,,0,0,Validar punto
P00711,Buenaventura,2025-02_2025-03,Sin validación,0.7664128126623517,0.8302042945019315,0.003599999938160181,2025-02-24 18:42:00,114.0,119.0,Clasificador_Especies_V1,,0,0,Validar punto
P00713,Buenaventura,2025-02_2025-03,Sin validación,0.7257284496371001,0.7724886013336282,0.0034000000450760126,2025-03-04 06:14:00,66.0,71.0,Clasificador_Especies_V1,,0,0,Validar punto
P00709,Buenaventura,2025-02_2025-03,Sin validación,0.7195825564431052,0.7993309024572448,0.00430000014603138,2025-02-10 16:43:00,6.0,11.0,Clasificador_Especies_V1,,0,0,Validar punto
P00707,Buenaventura,2025-02_2025-03,Sin validación,0.706647101213768,0.7997213104409281,0.00430000014603138,2025-02-27 16:26:00,33.0,38.0,Clasificador_Especies_V1,,0,0,Validar punto
P00117,Buenaventura,2024-01_2024-02,Sin validación,0.6955621067614552,0.7222315066184233,0.0035000001080334187,2024-01-22 21:30:00,6.0,11.0,Clasificador_Especies_V1,,0,0,Validar punto
P00403,Tomagato,2024-02_2024-03,Sin validación,0.6930968736054414,0.7459823351294037,0.0027000000700354576,2024-02-27 10:20:00,6.0,11.0,Clasificador_Especies_V1,,0,0,Validar punto
P00405,Tomagato,2024-02_2024-03,Sin validación,0.6732462698473702,0.718263472078694,0.002099999925121665,2024-02-24 07:55:00,51.0,56.0,Clasificador_Especies_V1,,0,0,Validar punto
P01123,Buenaventura,2025-11_2025-11,Sin validación,0.6517830547369969,0.8238512207089537,0.004999999888241291,2025-11-14 06:15:00,105.0,110.0,Clasificador_Especies_V1,,0,0,Validar punto
P00404,Tomagato,2024-02_2024-03,Sin validación,0.6481281233506062,0.7116187314356105,0.004100000020116568,2024-02-20 11:55:00,3.0,8.0,Clasificador_Especies_V1,,0,0,Validar punto
P01124,Buenaventura,2025-11_2025-11,Sin validación,0.6388998839496376,0.7195630751023483,0.003000000026077032,2025-11-16 16:45:00,81.0,86.0,Clasificador_Especies_V1,,0,0,Validar punto
P00702,Buenaventura,2025-02_2025-03,Sin validación,0.630194537518301,0.7793126708885221,0.004999999888241291,2025-03-01 00:51:00,87.0,92.0,Clasificador_Especies_V1,,0,0,Validar punto
P00847,Particular,2025-08_2025-09,Sin validación,0.6032594169221153,0.7351952797936885,0.0044999998062849045,2025-08-30 18:08:00,87.0,92.0,Clasificador_Especies_V1,,0,0,Validar punto
P00255,Buenaventura,2024-01_2024-02,Sin validación,0.6019521033656743,0.7429560249957295,0.0032999999821186066,2024-02-07 05:15:00,6.0,11.0,Clasificador_Especies_V1,,0,0,Validar punto
