archivo,campaign_id,eventos,model_id,paisaje,punto,unidad_manejo,segmentos_presencia,segmentos_validados,horas_monitoreadas
series/serie_P00251_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00251,Buenaventura,55,85,768
series/serie_P00243_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00243,Buenaventura,23,64,768
series/serie_P00864_2025-08_2025-09.html,2025-08_2025-09,119613,Clasificador_Especies_V1,Piemonte_Oro,P00864,Buenaventura,17,74,877
series/serie_P00858_2025-08_2025-09.html,2025-08_2025-09,109863,Clasificador_Especies_V1,Piemonte_Oro,P00858,Particular,14,68,805
series/serie_P00850_2025-08_2025-09.html,2025-08_2025-09,52231,Clasificador_Especies_V1,Piemonte_Oro,P00850,Buenaventura,9,30,333
series/serie_P00852_2025-08_2025-09.html,2025-08_2025-09,117548,Clasificador_Especies_V1,Piemonte_Oro,P00852,Buenaventura,8,63,763
series/serie_P00855_2025-08_2025-09.html,2025-08_2025-09,112671,Clasificador_Especies_V1,Piemonte_Oro,P00855,Particular,4,70,826
series/serie_P00245_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00245,Buenaventura,4,64,768
series/serie_P00244_2024-01_2024-02.html,2024-01_2024-02,119807,Clasificador_Especies_V1,Piemonte_Oro,P00244,Buenaventura,2,64,768
series/serie_P00246_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00246,Buenaventura,2,62,768
series/serie_P00840_2025-08_2025-09.html,2025-08_2025-09,113256,Clasificador_Especies_V1,Piemonte_Oro,P00840,Buenaventura,1,70,830
series/serie_P00253_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00253,Buenaventura,1,65,768
series/serie_P00242_2024-01_2024-02.html,2024-01_2024-02,119774,Clasificador_Especies_V1,Piemonte_Oro,P00242,Buenaventura,1,64,768
series/serie_P00718_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00718,Buenaventura,1,60,720
series/serie_P00875_2025-08_2025-09.html,2025-08_2025-09,45084,Clasificador_Especies_V1,Piemonte_Oro,P00875,Buenaventura,1,28,330
series/serie_P00861_2025-08_2025-09.html,2025-08_2025-09,116454,Clasificador_Especies_V1,Piemonte_Oro,P00861,Particular,0,72,853
series/serie_P00843_2025-08_2025-09.html,2025-08_2025-09,109474,Clasificador_Especies_V1,Piemonte_Oro,P00843,Particular,0,68,803
series/serie_P00874_2025-08_2025-09.html,2025-08_2025-09,106593,Clasificador_Especies_V1,Piemonte_Oro,P00874,Buenaventura,0,66,782
series/serie_P00841_2025-08_2025-09.html,2025-08_2025-09,109707,Clasificador_Especies_V1,Piemonte_Oro,P00841,Buenaventura,0,66,804
series/serie_P00854_2025-08_2025-09.html,2025-08_2025-09,106392,Clasificador_Especies_V1,Piemonte_Oro,P00854,Particular,0,66,780
series/serie_P00853_2025-08_2025-09.html,2025-08_2025-09,117858,Clasificador_Especies_V1,Piemonte_Oro,P00853,Buenaventura,0,66,764
series/serie_P00859_2025-08_2025-09.html,2025-08_2025-09,105144,Clasificador_Especies_V1,Piemonte_Oro,P00859,Particular,0,64,770
series/serie_P00869_2025-08_2025-09.html,2025-08_2025-09,105417,Clasificador_Especies_V1,Piemonte_Oro,P00869,Particular,0,64,772
series/serie_P00241_2024-01_2024-02.html,2024-01_2024-02,114075,Clasificador_Especies_V1,Piemonte_Oro,P00241,Buenaventura,0,64,734
series/serie_P00248_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00248,Buenaventura,0,64,768
series/serie_P00250_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00250,Buenaventura,0,64,768
series/serie_P00249_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00249,Buenaventura,0,64,768
series/serie_P00252_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00252,Buenaventura,0,64,768
series/serie_P00254_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00254,Buenaventura,0,64,768
series/serie_P00857_2025-08_2025-09.html,2025-08_2025-09,101400,Clasificador_Especies_V1,Piemonte_Oro,P00857,Particular,0,62,743
series/serie_P00867_2025-08_2025-09.html,2025-08_2025-09,110877,Clasificador_Especies_V1,Piemonte_Oro,P00867,Buenaventura,0,62,719
series/serie_P00710_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00710,Buenaventura,0,61,720
series/serie_P00705_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00705,Buenaventura,0,61,720
series/serie_P00708_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00708,Buenaventura,0,61,720
series/serie_P00704_2025-02_2025-03.html,2025-02_2025-03,95216,Clasificador_Especies_V1,Piemonte_Oro,P00704,Buenaventura,0,60,698
series/serie_P00865_2025-08_2025-09.html,2025-08_2025-09,111111,Clasificador_Especies_V1,Piemonte_Oro,P00865,Particular,0,60,720
series/serie_P00715_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00715,Buenaventura,0,60,720
series/serie_P00717_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00717,Buenaventura,0,60,720
series/serie_P00706_2025-02_2025-03.html,2025-02_2025-03,98285,Clasificador_Especies_V1,Piemonte_Oro,P00706,Buenaventura,0,60,721
series/serie_P00844_2025-08_2025-09.html,2025-08_2025-09,104715,Clasificador_Especies_V1,Piemonte_Oro,P00844,Particular,0,58,679
series/serie_P00873_2025-08_2025-09.html,2025-08_2025-09,86353,Clasificador_Especies_V1,Piemonte_Oro,P00873,Buenaventura,0,55,634
series/serie_P00860_2025-08_2025-09.html,2025-08_2025-09,100464,Clasificador_Especies_V1,Piemonte_Oro,P00860,Particular,0,54,651
series/serie_P00846_2025-08_2025-09.html,2025-08_2025-09,82719,Clasificador_Especies_V1,Piemonte_Oro,P00846,Particular,0,52,606
series/serie_P00863_2025-08_2025-09.html,2025-08_2025-09,74802,Clasificador_Especies_V1,Piemonte_Oro,P00863,Particular,0,46,548
series/serie_P00842_2025-08_2025-09.html,2025-08_2025-09,69498,Clasificador_Especies_V1,Piemonte_Oro,P00842,Particular,0,38,450
series/serie_P00849_2025-08_2025-09.html,2025-08_2025-09,57135,Clasificador_Especies_V1,Piemonte_Oro,P00849,Particular,0,37,419
series/serie_P00866_2025-08_2025-09.html,2025-08_2025-09,59085,Clasificador_Especies_V1,Piemonte_Oro,P00866,Buenaventura,0,32,383
series/serie_P00845_2025-08_2025-09.html,2025-08_2025-09,46410,Clasificador_Especies_V1,Piemonte_Oro,P00845,Particular,0,26,301
series/serie_P01126_2025-11_2025-11.html,2025-11_2025-11,18525,Clasificador_Especies_V1,Piemonte_Oro,P01126,Buenaventura,0,0,120
series/serie_P00078_2024-04_2024-04.html,2024-04_2024-04,16312,Clasificador_Especies_V1,Piemonte_Oro,P00078,Buenaventura,0,0,28
series/serie_P01123_2025-11_2025-11.html,2025-11_2025-11,18525,Clasificador_Especies_V1,Piemonte_Oro,P01123,Buenaventura,0,0,120
series/serie_P00406_2024-02_2024-03.html,2024-02_2024-03,119548,Clasificador_Especies_V1,Piemonte_Oro,P00406,Tomagato,0,0,528
series/serie_P00404_2024-02_2024-03.html,2024-02_2024-03,119548,Clasificador_Especies_V1,Piemonte_Oro,P00404,Tomagato,0,0,528
series/serie_P00403_2024-02_2024-03.html,2024-02_2024-03,119548,Clasificador_Especies_V1,Piemonte_Oro,P00403,Tomagato,0,0,528
series/serie_P00405_2024-02_2024-03.html,2024-02_2024-03,119548,Clasificador_Especies_V1,Piemonte_Oro,P00405,Tomagato,0,0,528
series/serie_P00713_2025-02_2025-03.html,2025-02_2025-03,98280,Clasificador_Especies_V1,Piemonte_Oro,P00713,Buenaventura,0,0,720
series/serie_P00862_2025-08_2025-09.html,2025-08_2025-09,106470,Clasificador_Especies_V1,Piemonte_Oro,P00862,Buenaventura,0,0,780
series/serie_P00848_2025-08_2025-09.html,2025-08_2025-09,114153,Clasificador_Especies_V1,Piemonte_Oro,P00848,Particular,0,0,836
series/serie_P00707_2025-02_2025-03.html,2025-02_2025-03,95005,Clasificador_Especies_V1,Piemonte_Oro,P00707,Buenaventura,0,0,697
series/serie_P00703_2025-02_2025-03.html,2025-02_2025-03,95028,Clasificador_Especies_V1,Piemonte_Oro,P00703,Buenaventura,0,0,698
series/serie_P00871_2025-08_2025-09.html,2025-08_2025-09,103662,Clasificador_Especies_V1,Piemonte_Oro,P00871,Particular,0,0,760
series/serie_P00856_2025-08_2025-09.html,2025-08_2025-09,109590,Clasificador_Especies_V1,Piemonte_Oro,P00856,Particular,0,0,803
series/serie_P00117_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00117,Buenaventura,0,0,768
series/serie_P00247_2024-01_2024-02.html,2024-01_2024-02,119808,Clasificador_Especies_V1,Piemonte_Oro,P00247,Buenaventura,0,0,768
series/serie_P00255_2024-01_2024-02.html,2024-01_2024-02,119777,Clasificador_Especies_V1,Piemonte_Oro,P00255,Buenaventura,0,0,768
series/serie_P00701_2025-02_2025-03.html,2025-02_2025-03,95005,Clasificador_Especies_V1,Piemonte_Oro,P00701,Buenaventura,0,0,697
series/serie_P00702_2025-02_2025-03.html,2025-02_2025-03,96928,Clasificador_Especies_V1,Piemonte_Oro,P00702,Buenaventura,0,0,711
series/serie_P00709_2025-02_2025-03.html,2025-02_2025-03,96841,Clasificador_Especies_V1,Piemonte_Oro,P00709,Buenaventura,0,0,710
series/serie_P00711_2025-02_2025-03.html,2025-02_2025-03,95019,Clasificador_Especies_V1,Piemonte_Oro,P00711,Buenaventura,0,0,697
series/serie_P00712_2025-02_2025-03.html,2025-02_2025-03,95010,Clasificador_Especies_V1,Piemonte_Oro,P00712,Buenaventura,0,0,697
