paisaje,unidad_manejo,campaign_id,punto,horas_monitoreadas,horas_p99,tasa_p99_1000h,dias_monitoreados,dias_p99,persistencia_p99,confianza_maxima,segmentos_validados,segmentos_presencia,segmentos_ausencia,segmentos_conflicto,tasa_confirmacion_acustica
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00251,768,101,131.51041666666666,32,32,1.0,0.6291999816894531,85,55,30,0,0.6470588235294118
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00243,768,85,110.67708333333333,32,31,0.96875,0.22190000116825104,64,23,41,0,0.359375
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00864,877,15,17.10376282782212,37,12,0.32432432432432434,0.029999999329447746,74,17,57,1,0.22972972972972974
Piemonte_Oro,Particular,2025-08_2025-09,P00858,805,13,16.149068322981368,34,10,0.29411764705882354,0.08659999817609787,68,14,54,0,0.20588235294117646
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00850,333,4,12.012012012012011,15,4,0.26666666666666666,0.027499999850988388,30,9,21,0,0.3
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00852,763,1,1.3106159895150722,33,1,0.030303030303030304,0.01269999984651804,63,8,55,0,0.12698412698412698
Piemonte_Oro,Particular,2025-08_2025-09,P00855,826,9,10.895883777239709,35,8,0.22857142857142856,0.03590000048279762,70,4,66,0,0.05714285714285714
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00245,768,4,5.208333333333333,32,4,0.125,0.02710000053048134,64,4,60,0,0.0625
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00244,768,6,7.8125,32,4,0.125,0.017500000074505806,64,2,62,1,0.03125
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00246,768,0,0.0,32,0,0.0,0.010599999688565731,62,2,60,1,0.03225806451612903
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00840,830,4,4.819277108433735,35,4,0.11428571428571428,0.018699999898672104,70,1,69,0,0.014285714285714285
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00253,768,31,40.364583333333336,32,20,0.625,0.03319999948143959,65,1,64,0,0.015384615384615385
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00242,768,20,26.041666666666668,32,16,0.5,0.021199999377131462,64,1,63,0,0.015625
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00718,720,6,8.333333333333334,30,6,0.2,0.010599999688565731,60,1,59,0,0.016666666666666666
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00875,330,1,3.0303030303030303,14,1,0.07142857142857142,0.010499999858438969,28,1,27,0,0.03571428571428571
Piemonte_Oro,Particular,2025-08_2025-09,P00861,853,7,8.206330597889801,36,5,0.1388888888888889,0.013899999670684338,72,0,72,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00843,803,7,8.7173100871731,35,7,0.2,0.013100000098347664,68,0,68,0,0.0
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00874,782,32,40.92071611253197,34,20,0.5882352941176471,0.03359999880194664,66,0,66,0,0.0
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00841,804,17,21.144278606965173,34,15,0.4411764705882353,0.012600000016391277,66,0,66,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00854,780,6,7.6923076923076925,33,6,0.18181818181818182,0.014299999922513962,66,0,66,0,0.0
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00853,764,2,2.6178010471204187,33,2,0.06060606060606061,0.013899999670684338,66,0,66,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00859,770,12,15.584415584415584,33,11,0.3333333333333333,0.017999999225139618,64,0,64,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00869,772,8,10.362694300518134,33,7,0.21212121212121213,0.019500000402331352,64,0,64,0,0.0
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00241,734,5,6.8119891008174385,32,4,0.125,0.03420000150799751,64,0,64,0,0.0
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00248,768,3,3.90625,32,3,0.09375,0.025599999353289604,64,0,64,0,0.0
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00250,768,3,3.90625,32,2,0.0625,0.01489999983459711,64,0,64,0,0.0
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00249,768,1,1.3020833333333333,32,1,0.03125,0.01489999983459711,64,0,64,0,0.0
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00252,768,1,1.3020833333333333,32,1,0.03125,0.016599999740719795,64,0,64,0,0.0
Piemonte_Oro,Buenaventura,2024-01_2024-02,P00254,768,1,1.3020833333333333,32,1,0.03125,0.01119999960064888,64,0,64,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00857,743,7,9.421265141318978,31,7,0.22580645161290322,0.01209999993443489,62,0,62,0,0.0
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00867,719,3,4.172461752433936,31,3,0.0967741935483871,0.013299999758601189,62,0,62,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00710,720,7,9.722222222222221,30,6,0.2,0.01590000092983246,61,0,61,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00705,720,5,6.944444444444445,30,5,0.16666666666666666,0.013100000098347664,61,0,61,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00708,720,5,6.944444444444445,30,5,0.16666666666666666,0.012600000016391277,61,0,61,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00704,698,8,11.461318051575931,31,8,0.25806451612903225,0.013399999588727951,60,0,60,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00865,720,6,8.333333333333334,30,5,0.16666666666666666,0.01549999974668026,60,0,60,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00715,720,5,6.944444444444445,30,4,0.13333333333333333,0.02280000038444996,60,0,60,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00717,720,4,5.555555555555555,30,4,0.13333333333333333,0.010099999606609344,60,0,60,0,0.0
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00706,721,3,4.160887656033287,31,3,0.0967741935483871,0.01590000092983246,60,0,60,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00844,679,6,8.836524300441827,29,6,0.20689655172413793,0.019899999722838402,58,0,58,0,0.0
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00873,634,1,1.5772870662460567,28,1,0.03571428571428571,0.010300000198185444,55,0,55,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00860,651,1,1.5360983102918586,28,1,0.03571428571428571,0.012900000438094139,54,0,54,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00846,606,1,1.6501650165016502,26,1,0.038461538461538464,0.013899999670684338,52,0,52,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00863,548,1,1.8248175182481752,23,1,0.043478260869565216,0.010099999606609344,46,0,46,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00842,450,1,2.2222222222222223,19,1,0.05263157894736842,0.010900000110268593,38,0,38,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00849,419,1,2.386634844868735,18,1,0.05555555555555555,0.01119999960064888,37,0,37,0,0.0
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00866,383,2,5.221932114882507,16,2,0.125,0.01209999993443489,32,0,32,0,0.0
Piemonte_Oro,Particular,2025-08_2025-09,P00845,301,6,19.93355481727575,13,6,0.46153846153846156,0.019099999219179153,26,0,26,0,0.0
Piemonte_Oro,Buenaventura,2025-11_2025-11,P01126,120,7,58.333333333333336,5,4,0.8,0.041600000113248825,0,0,0,0,
Piemonte_Oro,Buenaventura,2024-04_2024-04,P00078,28,1,35.714285714285715,2,1,0.5,0.009700000286102295,0,0,0,0,
Piemonte_Oro,Buenaventura,2025-11_2025-11,P01123,120,3,25.0,5,3,0.6,0.012600000016391277,0,0,0,0,
Piemonte_Oro,Tomagato,2024-02_2024-03,P00406,528,8,15.151515151515152,22,7,0.3181818181818182,0.007000000216066837,0,0,0,0,
Piemonte_Oro,Tomagato,2024-02_2024-03,P00404,528,7,13.257575757575758,22,7,0.3181818181818182,0.005799999926239252,0,0,0,0,
Piemonte_Oro,Tomagato,2024-02_2024-03,P00403,528,6,11.363636363636363,22,6,0.2727272727272727,0.0052999998442828655,0,0,0,0,
Piemonte_Oro,Tomagato,2024-02_2024-03,P00405,528,2,3.787878787878788,22,2,0.09090909090909091,0.006800000090152025,0,0,0,0,
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00713,720,2,2.7777777777777777,30,2,0.06666666666666667,0.00930000003427267,0,0,0,0,
Piemonte_Oro,Buenaventura,2025-08_2025-09,P00862,780,2,2.5641025641025643,33,1,0.030303030303030304,0.008899999782443047,0,0,0,0,
Piemonte_Oro,Particular,2025-08_2025-09,P00848,836,2,2.3923444976076556,35,2,0.05714285714285714,0.008100000210106373,0,0,0,0,
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00707,697,1,1.4347202295552368,30,1,0.03333333333333333,0.008799999952316284,0,0,0,0,
Piemonte_Oro,Buenaventura,2025-02_2025-03,P00703,698,1,1.4326647564469914,30,1,0.03333333333333333,0.007400000002235174,0,0,0,0,
